id,name,city,latitude,longitude,description,created_at,checkin_radius,amap_poi_id
beijing_001,"故宫博物院","北京",39.916345,116.397155,"故宫博物院是北京著名的博物馆，位于北京市东城区景山前街4号",2026-04-02T10:00:00.000Z,100,B000A7J5J4
beijing_002,"天安门广场","北京",39.905527,116.397628,"天安门广场是北京著名的广场，位于北京市东城区东长安街",2026-04-02T10:00:00.000Z,150,B000A7J5J5
beijing_003,"颐和园","北京",39.999912,116.275555,"颐和园是北京著名的公园，位于北京市海淀区新建宫门路19号",2026-04-02T10:00:00.000Z,200,B000A7J5J6
beijing_004,"天坛公园","北京",39.882222,116.406667,"天坛公园是北京著名的公园，位于北京市东城区天坛路甲1号",2026-04-02T10:00:00.000Z,150,B000A7J5J7
beijing_005,"北海公园","北京",39.925,116.388889,"北海公园是北京著名的公园，位于北京市西城区文津街1号",2026-04-02T10:00:00.000Z,150,B000A7J5J8
beijing_006,"景山公园","北京",39.925556,116.396389,"景山公园是北京著名的公园，位于北京市西城区景山西街44号",2026-04-02T10:00:00.000Z,150,B000A7J5J9
beijing_007,"圆明园遗址公园","北京",40.003611,116.296944,"圆明园遗址公园是北京著名的公园，位于北京市海淀区清华西路28号",2026-04-02T10:00:00.000Z,200,B000A7J5JA
beijing_008,"香山公园","北京",39.994444,116.188889,"香山公园是北京著名的公园，位于北京市海淀区买卖街40号",2026-04-02T10:00:00.000Z,200,B000A7J5JB
beijing_009,"国家博物馆","北京",39.903889,116.3975,"国家博物馆是北京著名的博物馆，位于北京市东城区东长安街16号",2026-04-02T10:00:00.000Z,100,B000A7J5JC
beijing_010,"首都博物馆","北京",39.912222,116.326944,"首都博物馆是北京著名的博物馆，位于北京市西城区复兴门外大街16号",2026-04-02T10:00:00.000Z,100,B000A7J5JD
beijing_011,"中国人民革命军事博物馆","北京",39.906111,116.3225,"中国人民革命军事博物馆是北京著名的博物馆，位于北京市海淀区复兴路9号",2026-04-02T10:00:00.000Z,100,B000A7J5JE
beijing_012,"北京自然博物馆","北京",39.891944,116.416389,"北京自然博物馆是北京著名的博物馆，位于北京市东城区天桥南大街126号",2026-04-02T10:00:00.000Z,100,B000A7J5JF
beijing_013,"中国科学技术馆","北京",39.991667,116.375,"中国科学技术馆是北京著名的科技馆，位于北京市朝阳区北辰东路5号",2026-04-02T10:00:00.000Z,100,B000A7J5JG
beijing_014,"北京天文馆","北京",39.938889,116.3225,"北京天文馆是北京著名的科技馆，位于北京市西城区西直门外大街138号",2026-04-02T10:00:00.000Z,100,B000A7J5JH
beijing_015,"北京动物园","北京",39.941944,116.341389,"北京动物园是北京著名的动物园，位于北京市西城区西直门外大街137号",2026-04-02T10:00:00.000Z,150,B000A7J5JI
beijing_016,"北京植物园","北京",39.993611,116.205556,"北京植物园是北京著名的植物园，位于北京市海淀区香山南路",2026-04-02T10:00:00.000Z,200,B000A7J5JJ
beijing_017,"人民大会堂","北京",39.903889,116.3975,"人民大会堂是北京著名的历史建筑，位于北京市西城区西长安街",2026-04-02T10:00:00.000Z,100,B000A7J5JK
beijing_018,"毛主席纪念堂","北京",39.903889,116.3975,"毛主席纪念堂是北京著名的纪念馆，位于北京市东城区天安门广场",2026-04-02T10:00:00.000Z,100,B000A7J5JL
beijing_019,"国家大剧院","北京",39.903056,116.391389,"国家大剧院是北京著名的历史建筑，位于北京市西城区西长安街2号",2026-04-02T10:00:00.000Z,100,B000A7J5JM
beijing_020,"鸟巢","北京",39.992778,116.386667,"鸟巢是北京著名的历史建筑，位于北京市朝阳区国家体育场南路1号",2026-04-02T10:00:00.000Z,150,B000A7J5JN
beijing_021,"水立方","北京",39.993056,116.388056,"水立方是北京著名的历史建筑，位于北京市朝阳区天辰东路11号",2026-04-02T10:00:00.000Z,150,B000A7J5JO
